leakage,percentage_of_set1_in_set2,set1_name,set2_name,set1_path,set2_path
76584,79,explanations train,interactions train,data/amazon/trn.pkl,data/amazon/total_trn.csv
9656,10,explanations train,interactions validation,data/amazon/trn.pkl,data/amazon/total_val.csv
9601,10,explanations train,interactions test,data/amazon/trn.pkl,data/amazon/total_tst.csv
9570,79,explanations validation,interactions train,data/amazon/val.pkl,data/amazon/total_trn.csv
1218,10,explanations validation,interactions validation,data/amazon/val.pkl,data/amazon/total_val.csv
1192,9,explanations validation,interactions test,data/amazon/val.pkl,data/amazon/total_tst.csv
2376,79,explanations test,interactions train,data/amazon/tst.pkl,data/amazon/total_trn.csv
295,9,explanations test,interactions validation,data/amazon/tst.pkl,data/amazon/total_val.csv
329,10,explanations test,interactions test,data/amazon/tst.pkl,data/amazon/total_tst.csv
